tracer,q_bin_center,empirical_log_density_derivative_dq,fixed_d_sigma_q_dq,q_derivative_residual,derivative_sign_empirical,derivative_sign_fixed
BGS,0.21934219359838955,1.35967454048644,0.27298631661354134,1.0866882238728988,1.0,1.0
BGS,0.655856463696266,0.5188903134548045,0.22513032017254223,0.2937599932822623,1.0,1.0
BGS,1.0923707337941426,-0.07836856469471142,0.18861881158036223,-0.26698737627507363,-1.0,1.0
BGS,1.528885003892019,-0.08263963003434434,0.15984535607452494,-0.24248498610886926,-1.0,1.0
BGS,1.9653992739898958,-0.37964214334569607,0.13658570877938583,-0.5162278521250819,-1.0,1.0
BGS,2.401913544087772,-0.35929453261993166,0.11739354551599818,-0.47668807813592984,-1.0,1.0
BGS,2.838427814185649,-0.11836226584502718,0.10128771507454676,-0.21964998091957394,-1.0,1.0
BGS,3.2749420842835253,0.248377727957875,0.08757914350945012,0.16079858444842487,1.0,1.0
BGS,3.7114563543814016,0.17984417574204775,0.07576967744057639,0.10407449830147136,1.0,1.0
BGS,4.147970624479278,0.015391045218081517,0.06549024491758054,-0.050099199699499025,1.0,1.0
BGS,4.584484894577155,0.11320864686483269,0.05646158960670772,0.05674705725812497,1.0,1.0
BGS,5.020999164675031,-0.018468516836272944,0.04846851628157353,-0.06693703311784648,-1.0,1.0
BGS,5.457513434772908,-0.12722639337982464,0.04134251772780759,-0.16856891110763222,-1.0,1.0
BGS,5.894027704870784,-0.055990898661716366,0.03494976457706529,-0.09094066323878167,-1.0,1.0
BGS,6.330541974968661,-0.006527320929874058,0.029182621169661457,-0.03570994209953551,-1.0,1.0
BGS,6.767056245066538,-0.018848674749687308,0.023953536055816974,-0.04280221080550428,-1.0,1.0
BGS,7.203570515164413,-0.07444422141224481,0.01919056628045497,-0.09363478769269978,-1.0,1.0
BGS,7.640084785262291,-0.02488167475194568,0.014834047481786461,-0.03971572223373214,-1.0,1.0
BGS,8.076599055360166,0.03304381668712031,0.010834081582606694,0.022209735104513614,1.0,1.0
BGS,8.513113325458043,-0.018108478154000643,0.007148617080090333,-0.025257095234090976,-1.0,1.0
BGS,8.94962759555592,-0.05218014303343311,0.0037419650248466663,-0.055922108058279775,-1.0,1.0
BGS,9.386141865653796,-0.03971430973994719,0.0005836395313439519,-0.04029794927129114,-1.0,1.0
BGS,9.822656135751673,0.04438552759714564,-0.002352557066705549,0.04673808466385119,1.0,-1.0
BGS,10.259170405849549,0.05895844859953916,-0.005089262591838575,0.06404771119137773,1.0,-1.0
BGS,10.695684675947426,-0.12038917681022908,-0.007646139814165759,-0.11274303699606332,-1.0,-1.0
BGS,11.132198946045303,-0.1516325614647619,-0.010040349630194581,-0.14159221183456733,-1.0,-1.0
BGS,11.568713216143179,-0.011083928586134646,-0.012286936715551422,0.0012030081294167761,-1.0,-1.0
BGS,12.005227486241056,-0.03349300865894916,-0.014399145975167976,-0.01909386268378118,-1.0,-1.0
BGS,12.441741756338931,0.044977751002765895,-0.016388683857765624,0.06136643486053152,1.0,-1.0
BGS,12.878256026436809,0.15759761637503128,-0.01826593542583367,0.17586355180086494,1.0,-1.0
BGS,13.314770296534686,-0.1521871696950392,-0.020040145681050003,-0.1321470240139892,-1.0,-1.0
BGS,13.751284566632561,-0.30461899827115335,-0.021719571828712925,-0.2828994264424404,-1.0,-1.0
BGS,14.187798836730439,0.05947985494394615,-0.023311611773678236,0.08279146671762438,1.0,-1.0
BGS,14.624313106828314,0.22340679622980422,-0.024822913066682446,0.24822970929648666,1.0,-1.0
BGS,15.060827376926191,-0.01121818144609021,-0.026259465685272716,0.015041284239182506,-1.0,-1.0
BGS,15.497341647024069,-0.06699149589767533,-0.027626681380190442,-0.03936481451748489,-1.0,-1.0
BGS,15.933855917121944,-0.10611141710935013,-0.02892946180324886,-0.07718195530610127,-1.0,-1.0
BGS,16.37037018721982,-0.6066405762278761,-0.030172257224605238,-0.5764683190032709,-1.0,-1.0
BGS,16.806884457317697,-0.29260405093055863,-0.031359117321850566,-0.26124493360870804,-1.0,-1.0
BGS,17.243398727415574,0.15099185655766806,-0.03249373526233157,0.18348559181999963,1.0,-1.0
BGS,17.67991299751345,-0.04192985304149803,-0.033579486089698844,-0.008350366951799186,-1.0,-1.0
BGS,18.11642726761133,-0.406305183802035,-0.03461946025517502,-0.37168572354685997,-1.0,-1.0
BGS,18.552941537709202,0.17377062995309536,-0.03561649299521845,0.2093871229483138,1.0,-1.0
BGS,18.98945580780708,0.4844927791995556,-0.03657319014371101,0.5210659693432665,1.0,-1.0
BGS,19.425970077904957,-0.028316702806862597,-0.03749195087351259,0.009175248066649995,-1.0,-1.0
BGS,19.862484348002834,-0.26312463556567817,-0.03837498778526266,-0.2247496477804155,-1.0,-1.0
BGS,20.29899861810071,0.11909193867301997,-0.039224344697554654,0.15831628337057463,1.0,-1.0
BGS,20.735512888198585,0.5393608016396977,-0.0400419124395937,0.5794027140792913,1.0,-1.0
BGS,21.172027158296462,0.9469089899387556,-0.040829442903196886,0.9877384328419525,1.0,-1.0
BGS,21.60854142839434,-0.21316860911801502,-0.0415885615739285,-0.1715800475440865,-1.0,-1.0
BGS,22.045055698492217,-0.29631853217596155,-0.04232077873000668,-0.2539977534459549,-1.0,-1.0
BGS,22.481569968590094,1.060411467901311,-0.043027499471344224,1.1034389673726552,1.0,-1.0
BGS,22.918084238687968,0.11198278666119495,-0.04371003271885847,0.15569281938005342,1.0,-1.0
BGS,23.354598508785845,-0.6793176794311714,-0.04436959930532414,-0.6349480801258472,-1.0,-1.0
BGS,23.791112778883722,-0.8542571974544414,-0.04500733926298918,-0.8092498581914522,-1.0,-1.0
BGS,24.2276270489816,-0.05875328471626933,-0.04562431839947329,-0.01312896631679604,-1.0,-1.0
BGS,24.664141319079476,0.35927526353803846,-0.04622153424174188,0.4054967977797803,1.0,-1.0
BGS,25.10065558917735,0.20289765530722045,-0.04679992141788575,0.2496975767251062,1.0,-1.0
BGS,25.973684129373105,-0.7688215547449361,-0.047903662626226653,-0.7209178921187094,-1.0,-1.0
BGS,26.410198399470982,-1.0983035515401969,-0.04843061315573851,-1.0498729383844583,-1.0,-1.0
BGS,26.84671266956886,0.3005219788217689,-0.04894193572051244,0.3494639145422813,1.0,-1.0
BGS,27.283226939666733,1.0027950943706667,-0.049438315388301894,1.0522334097589685,1.0,-1.0
BGS,27.71974120976461,0.6097606660439838,-0.04992039776265446,0.6596810638066383,1.0,-1.0
BGS,28.592769749960365,-0.06490548709986958,-0.05084407229725054,-0.014061414802619042,-1.0,-1.0
BGS,29.465798290156116,-0.6097606660439977,-0.051717435618509985,-0.5580432304254878,-1.0,-1.0
BGS,29.902312560253993,-0.7523001896842967,-0.05213651786979934,-0.7001636718144973,-1.0,-1.0
BGS,30.33882683035187,0.49343508975761774,-0.052544489314405154,0.5459795790720229,1.0,-1.0
BGS,30.775341100449747,1.5879141371587346,-0.052941786030088596,1.6408559231888233,1.0,-1.0
BGS,31.211855370547624,1.8145112462126773,-0.053328821569023244,1.8678400677817006,1.0,-1.0
BGS,31.648369640645498,0.5993482683249126,-0.053705988393700596,0.6530542567186132,1.0,-1.0
BGS,32.08488391074337,-1.258392180880821,-0.0540736592043793,-1.2043185216764416,-1.0,-1.0
BGS,32.521398180841246,0.07647596067969423,-0.05443218816751631,0.13090814884721053,1.0,-1.0
BGS,33.83094099113488,0.4493916099429243,-0.055456210952832985,0.5048478208957573,1.0,-1.0
BGS,34.70396953133063,-0.309623408200951,-0.05609894039571225,-0.2535244678052388,-1.0,-1.0
BGS,35.14048380142851,-1.5879141371587209,-0.05640915137985168,-1.5315049857788692,-1.0,-1.0
BGS,35.57699807152639,-0.5293047123862459,-0.05671226670796563,-0.47259244567828024,-1.0,-1.0
BGS,36.45002661172214,0.4011180377482732,-0.057298162440506804,0.45841620018878,1.0,-1.0
BGS,37.75956942201577,0.5572298210946734,-0.058129468537293574,0.6153592896319671,1.0,-1.0
BGS,39.942140772505155,0.5267174924768199,-0.05940122216010982,0.5861187146369297,1.0,-1.0
BGS,40.8151693127009,-0.9527484822952421,-0.05987411284740199,-0.8928743694478402,-1.0,-1.0
BGS,42.12471212299454,0.0,-0.060548825796998496,0.060548825796998496,0.0,-1.0
BGS,50.41848325485419,0.2507232848145394,-0.06404786069504693,0.31477114550958635,1.0,-1.0
LRG,0.21934219359838955,0.6527577771261057,0.27298631661354134,0.3797714605125644,1.0,1.0
LRG,0.655856463696266,0.1475963963991398,0.22513032017254223,-0.07753392377340243,1.0,1.0
LRG,1.0923707337941426,0.0622813050600179,0.18861881158036223,-0.1263375065203443,1.0,1.0
LRG,1.528885003892019,0.15531893187004955,0.15984535607452494,-0.004526424204475382,1.0,1.0
LRG,1.9653992739898958,-0.1513645055556215,0.13658570877938583,-0.28795021433500734,-1.0,1.0
LRG,2.401913544087772,-0.11318169328549903,0.11739354551599818,-0.23057523880149722,-1.0,1.0
LRG,2.838427814185649,-0.023600100693265524,0.10128771507454676,-0.12488781576781229,-1.0,1.0
LRG,3.2749420842835253,0.015369599119051404,0.08757914350945012,-0.07220954439039871,1.0,1.0
