derivative_residual,empirical_log_density_derivative_ds,fixed_d_sigma_ds,q_bin_center,tracer
1.63943156933352,1.9124178859676573,0.2729863166341373,0.21934219343578698,LRG
1.3995389894094503,1.624669309597041,0.2251303201875908,0.6558564635376777,LRG
2.413737523027876,2.602356334619635,0.1886188115917589,1.0923707336395685,LRG
1.735525824004079,1.8953711800874766,0.15984535608339767,1.528885003741459,LRG
0.9174167545073266,1.054002463293773,0.13658570878644632,1.96539927384335,LRG
2.715777758586161,2.833171304107878,0.11739354552171691,2.4019135439452404,LRG
3.204559624592735,3.3058473396719816,0.10128771507924661,2.8384278140471313,LRG
2.5653073837195732,2.652886527232933,0.08757914351335977,3.2749420841490218,LRG
1.5403304367368098,1.616100114180672,0.07576967744386212,3.7114563542509127,LRG
0.6741628716123289,0.7396531165326948,0.06549024492036595,4.147970624352803,LRG
0.22654069930412163,0.28300228891320817,0.05646158960908654,4.584484894454694,LRG
0.03626825478743331,0.08473677107105132,0.04846851628361801,5.020999164556585,LRG
-0.22566597786708545,-0.1843234601375111,0.04134251772957434,5.457513434658475,LRG
-0.6307199341648733,-0.595770169586274,0.03494976457859916,5.894027704760366,LRG
-0.9399178983120339,-0.9107352771410354,0.029182621170998457,6.330541974862257,LRG
-0.3007036202970566,-0.2767500842400703,0.023953536056986302,6.767056244964147,LRG
1.086026352972203,1.1052169192536834,0.019190566281480526,7.203570515066039,LRG
0.7263197495582309,0.7411537970409189,0.014834047482688045,7.640084785167929,LRG
-0.06172870355359475,-0.050894621970194065,0.010834081583400684,8.07659905526982,LRG
0.21754600965476684,0.2246946267355574,0.007148617080790565,8.51311332537171,LRG
0.29508446937180094,0.29882643439726575,0.0037419650254648107,8.9496275954736,LRG
0.29444287195173513,0.29502651148362496,0.0005836395318898624,9.386141865575492,LRG
0.16283128306403444,0.16047872599781102,-0.0023525570662234208,9.822656135677382,LRG
0.00011836070943023382,-0.00497090188198271,-0.005089262591412944,10.259170405779273,LRG
